english,chinese,difficulty
plane,飞机,L1
coach,长途公共汽车,L1
departure,出发；航班；车次,L1
waiting room,等候室,L1
boarding pass,登机牌,L1
transport,交通方式,L1
nod,点头,L1
tear,眼泪,L1
towards,朝……方向,L1
cigarette,香烟,L1
though,虽然；尽管,L1
get off,下（车、船等）,L1
step,步；步骤,L1
geography,地理学,L2
physical,身体的,L2
PE,体育,L2
simply,实在；的确,L2
neither,两者都不,L2
secondary school,中学,L2
present,出席的,L2
absent,缺席的,L2
speech,演讲,L2
biology,生物学,L2
safety,安全,L2
luckily,幸运地,L2
drug,毒品,L2
Spanish,西班牙的,L2
French,法国的,L2
involve,牵涉,L2
training,训练,L2
athletics,田径运动,L2
society,协会,L2
disco,迪斯科舞会,L2
either...or...,要么……要么……,L2
debate,辩论,L3
illness,疾病,L3
prevent,预防,L3
medicine,医学,L3
suppose,猜想,L3
relaxed,放松的,L3
eldest,年龄最大的,L3
married,已婚的,L3
fall off,从……跌落,L3
get married,结婚,L3
couple,夫妻,L3
diet,日常饮食,L3
lead a ... life,过……的生活,L3
dress,连衣裙,L4
fit,适合,L4
glove,手套,L4
wear,穿着,L4
coat,大衣,L4
scarf,围巾,L4
thick,厚的,L4
size,尺码,L4
shop assistant,店员,L4
cool,时髦的,L4
fashion,时尚,L4
logo,标志,L4
well-known,著名的,L4
designer,设计师,L4
advertisement,广告,L4
dollar,美元,L4
succeed,成功,L4
show off,炫耀,L4
personality,个性,L4
rule,规则,L5
suggestion,建议,L5
along,沿着,L5
rope,绳子,L5
stream,小河,L5
clear,清楚的,L5
starving,极饿的,L5
lead the way,领路,L5
fall asleep,入睡,L5
valley,山谷,L5
peaceful,安静的,L5
site,场所,L5
gesture,手势,L5
stick,枯枝,L5
reach,伸手去摸,L5
still,静止的,L5
wood,树林,L5
hillside,小山坡,L5
sudden,突然的,L5
blood,血,L5
harm,损害,L5
cause,原因,L5
effort,努力,L5
fifth,第五,L5
order,顺序；命令,L5
in order to,为了,L5
director,主任,L5
fever,发烧,L6
flu,流感,L6
knee,膝盖,L6
wound,伤口,L6
be absent from,不在,L6
trip,绊倒,L6
improvement,改善,L6
oncoming,迎面而来的,L6
sofa,长沙发,L6
expert,专家,L6
require,需要,L6
fit,健康的,L6
amount,数量,L6
weight,重量,L6
influence,影响,L6
stove,厨灶,L6
electric shock,电击,L6
hit,打,L6
cheerful,高兴的,L6
breathe,呼吸,L6
cancer,癌症,L6